[      94ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:5175/node_modules/.vite/deps/react-dom_client.js?v=94da8af1:20102
[     164ms] [LOG] CFPen preview ready @ about:srcdoc:86
[ 1006317ms] [LOG] [vite] server connection lost. Polling for restart... @ http://127.0.0.1:5175/@vite/client:963
[ 1006319ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1007322ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1008324ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1009327ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1010330ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1011334ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1012342ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1013351ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1014393ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1015457ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1016617ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
